Light Intensity (% of scale max) Run #2,Position (m) Run #2,Light Intensity (% of scale max) Run #6,Position (m) Run #6,Light Intensity (% of scale max) Run #7,Position (m) Run #7,Light Intensity (% of scale max) Run #8,Position (m) Run #8,Light Intensity (% of scale max) Run #9,Position (m) Run #9
0.4,0.0183,0.4,0.0147,0.4,0.0175,0.3,0.0167,0.2,0.0172
0.4,0.0189,0.4,0.0148,0.4,0.0177,0.3,0.0168,0.2,0.0174
0.4,0.0206,0.4,0.0151,0.4,0.0178,0.3,0.0171,0.2,0.0175
0.5,0.0219,0.4,0.0154,0.4,0.0181,0.3,0.0174,0.2,0.0177
0.5,0.0224,0.4,0.0162,0.4,0.0183,0.3,0.0177,0.2,0.0177
0.5,0.0228,0.4,0.0175,0.4,0.0186,0.3,0.0179,0.2,0.0177
0.5,0.0231,0.4,0.0176,0.4,0.019,0.3,0.0183,0.2,0.0177
0.5,0.0236,0.4,0.0176,0.4,0.0205,0.3,0.0183,0.2,0.0177
0.5,0.0241,0.4,0.0177,0.4,0.0208,0.3,0.0183,0.2,0.0178
0.5,0.0247,0.4,0.018,0.4,0.022,0.3,0.0183,0.2,0.0179
0.5,0.0252,0.4,0.0184,0.4,0.0223,0.3,0.0184,0.2,0.0185
0.5,0.0256,0.4,0.0192,0.4,0.0231,0.3,0.0189,0.2,0.0188
0.5,0.0263,0.4,0.0215,0.4,0.0237,0.3,0.0203,0.2,0.0196
0.4,0.0269,0.4,0.0217,0.4,0.0246,0.3,0.0214,0.2,0.0213
0.4,0.0273,0.4,0.0217,0.4,0.0254,0.3,0.0223,0.2,0.0218
0.4,0.0277,0.4,0.0218,0.4,0.0262,0.3,0.0226,0.2,0.0225
0.4,0.0279,0.4,0.0221,0.4,0.027,0.3,0.0234,0.2,0.0231
0.4,0.0283,0.4,0.0232,0.4,0.0273,0.3,0.0235,0.2,0.0235
0.4,0.0283,0.4,0.0249,0.4,0.0277,0.3,0.024,0.2,0.0237
0.4,0.0286,0.4,0.0257,0.4,0.028,0.3,0.0244,0.2,0.0244
0.4,0.0288,0.4,0.0261,0.4,0.0285,0.3,0.025,0.2,0.0247
0.5,0.0299,0.4,0.0261,0.4,0.0288,0.3,0.0253,0.2,0.0253
0.5,0.0309,0.4,0.0264,0.4,0.0301,0.3,0.0257,0.2,0.0259
0.5,0.0312,0.4,0.0265,0.4,0.0305,0.3,0.0261,0.2,0.0271
0.5,0.0312,0.4,0.0265,0.4,0.0314,0.3,0.0264,0.2,0.0279
0.5,0.0315,0.4,0.0265,0.4,0.0315,0.3,0.0266,0.2,0.0285
0.5,0.032,0.4,0.0265,0.4,0.0321,0.3,0.0271,0.2,0.0289
0.5,0.0328,0.4,0.0265,0.4,0.0327,0.3,0.0274,0.2,0.0299
0.5,0.0337,0.4,0.0265,0.4,0.0338,0.3,0.0277,0.2,0.0311
0.4,0.0348,0.4,0.0265,0.4,0.0348,0.3,0.0279,0.2,0.0314
0.4,0.0349,0.4,0.0265,0.4,0.0355,0.3,0.028,0.2,0.0328
0.4,0.0358,0.4,0.0265,0.4,0.0359,0.3,0.028,0.1,0.0335
0.4,0.036,0.4,0.0265,0.4,0.0359,0.3,0.028,0.1,0.0343
0.4,0.0363,0.4,0.0265,0.4,0.0363,0.3,0.028,0.1,0.0349
0.4,0.0368,0.4,0.0265,0.4,0.0363,0.3,0.0285,0.1,0.0356
0.4,0.0369,0.4,0.0265,0.4,0.0365,0.3,0.0289,0.1,0.0358
0.4,0.037,0.4,0.0264,0.4,0.0365,0.3,0.0294,0.1,0.036
0.4,0.0372,0.4,0.0264,0.4,0.0365,0.3,0.0312,0.1,0.0364
0.4,0.0373,0.4,0.0264,0.4,0.0365,0.3,0.0314,0.1,0.0366
0.4,0.0377,0.4,0.0264,0.4,0.0365,0.3,0.0314,0.1,0.0366
0.4,0.0382,0.4,0.0268,0.4,0.0365,0.3,0.0314,0.1,0.0367
0.4,0.0402,0.4,0.0279,0.4,0.0365,0.3,0.0318,0.1,0.0367
0.4,0.0411,0.4,0.0284,0.4,0.0365,0.3,0.033,0.1,0.0367
0.4,0.0418,0.4,0.0286,0.4,0.0365,0.3,0.0338,0.1,0.0368
0.4,0.0421,0.4,0.0286,0.4,0.0365,0.3,0.0346,0.1,0.0368
0.4,0.0425,0.4,0.0288,0.4,0.0365,0.3,0.0348,0.1,0.0369
0.4,0.0429,0.4,0.0289,0.4,0.0365,0.3,0.0355,0.1,0.037
0.4,0.0441,0.4,0.0295,0.4,0.0365,0.3,0.0359,0.1,0.0371
0.4,0.0452,0.4,0.0301,0.4,0.0365,0.3,0.0362,0.1,0.0371
