Light Intensity (% of scale max) Run #10,Position (m) Run #10
0.8,0.0933
0.8,0.0933
0.8,0.0933
0.8,0.0933
0.8,0.0935
0.8,0.0937
0.8,0.0937
0.8,0.0939
0.8,0.0939
0.8,0.0939
0.8,0.0942
0.8,0.0942
0.8,0.0946
0.9,0.0948
0.9,0.0956
1,0.0962
1.1,0.0965
1.2,0.0968
1.2,0.097
1.3,0.0972
1.6,0.0978
1.6,0.0978
2.2,0.0984
2.5,0.0986
3.3,0.099
3.9,0.0991
4.8,0.0994
10.3,0.0999
11.7,0.1
17.2,0.1005
26.6,0.1006
27.1,0.1006
37.1,0.1008
42.6,0.1009
43.2,0.1009
49,0.1011
70.6,0.1014
74.2,0.1014
83.6,0.1015
84.1,0.1015
83.3,0.1015
90.5,0.1015
99.8,0.1018
99.8,0.1023
99.8,0.1025
99.8,0.103
99.8,0.103
99.8,0.1033
99.8,0.1036
99.8,0.1037
99.8,0.1041
99.8,0.1047
99.8,0.105
99.8,0.105
99.8,0.105
99.8,0.105
99.8,0.1052
99.8,0.1052
99.8,0.1052
99.8,0.1054
99.8,0.1056
99.8,0.1056
99.8,0.1056
99.8,0.1056
99.8,0.1056
99.8,0.1056
99.8,0.1057
92.3,0.1064
44.8,0.1073
7.1,0.1081
3.9,0.1088
2.9,0.1091
2.1,0.1096
1.6,0.1104
1.2,0.1113
1.1,0.1118
1.1,0.1119
1.1,0.112
1.1,0.112
1,0.1124
1,0.1126
1,0.1127
1,0.1129
1,0.1129
0.9,0.1131
0.9,0.1131
0.9,0.1134
0.9,0.1134
0.9,0.1134
0.9,0.114
0.8,0.1142
0.8,0.1152
0.7,0.1158
0.7,0.1165
0.7,0.1168
0.7,0.1171
0.7,0.1171
0.7,0.1173
0.7,0.1173
0.6,0.1173
0.6,0.1175
0.6,0.1175
0.6,0.1178
0.6,0.1179
0.6,0.118
0.6,0.1181
0.6,0.1181
0.6,0.1181
0.6,0.1184
0.6,0.1186
0.6,0.1197
0.6,0.1198
0.6,0.12
0.6,0.1201
0.6,0.1205
0.6,0.1206
0.6,0.1211
0.6,0.1213
0.6,0.1218
0.6,0.1218
0.6,0.1224
0.5,0.1227
0.5,0.1232
0.5,0.1236
0.5,0.1238
0.5,0.1243
0.5,0.1247
0.5,0.1247
0.5,0.1253
0.5,0.1255
0.5,0.1255
0.5,0.1256
0.5,0.1256
0.5,0.1258
0.5,0.1258
0.5,0.1258
0.5,0.1263
0.5,0.1263
0.5,0.1263
0.5,0.1267
0.5,0.1269
0.5,0.1271
0.5,0.1275
0.5,0.1278
0.5,0.1282
0.5,0.1284
0.5,0.1287
0.5,0.1293
0.5,0.1296
