Light Intensity (% of scale max) Run #1,Position (m) Run #1,Light Intensity (% of scale max) Run #2,Position (m) Run #2,Light Intensity (% of scale max) Run #3,Position (m) Run #3,Light Intensity (% of scale max) Run #4,Position (m) Run #4,Light Intensity (% of scale max) Run #5,Position (m) Run #5
0.4,0.0083,0.5,0.0224,0.4,0.0086,0.6,0.0069,0.4,0.0124
0.4,0.0085,0.5,0.0228,0.4,0.0092,0.5,0.0078,0.4,0.0127
0.4,0.0086,0.5,0.0231,0.4,0.0095,0.5,0.0083,0.4,0.0132
0.4,0.0087,0.5,0.0236,0.4,0.01,0.4,0.0088,0.4,0.0135
0.4,0.0088,0.5,0.0241,0.4,0.0105,0.4,0.0094,0.4,0.0141
0.4,0.009,0.5,0.0247,0.4,0.0112,0.4,0.0102,0.4,0.0145
0.4,0.0099,0.5,0.0252,0.4,0.0113,0.4,0.0109,0.4,0.0147
0.4,0.0113,0.5,0.0256,0.4,0.0114,0.4,0.0112,0.4,0.0147
0.4,0.0117,0.5,0.0263,0.4,0.0115,0.4,0.0114,0.4,0.015
0.4,0.0117,0.4,0.0269,0.4,0.0119,0.4,0.0116,0.4,0.0155
0.4,0.012,0.4,0.0273,0.4,0.0122,0.4,0.0118,0.4,0.016
0.4,0.0129,0.4,0.0277,0.4,0.0124,0.4,0.0122,0.4,0.0167
0.4,0.0143,0.4,0.0279,0.4,0.0129,0.4,0.0128,0.4,0.0168
0.4,0.0144,0.4,0.0283,0.4,0.0132,0.4,0.0136,0.4,0.0171
0.4,0.0145,0.4,0.0283,0.4,0.0141,0.4,0.0143,0.4,0.0175
0.4,0.0147,0.4,0.0286,0.4,0.0147,0.4,0.0148,0.4,0.0176
0.4,0.0148,0.4,0.0288,0.4,0.0152,0.4,0.0154,0.4,0.0176
0.4,0.0149,0.5,0.0299,0.4,0.0155,0.4,0.016,0.4,0.0178
0.4,0.015,0.5,0.0309,0.4,0.0156,0.4,0.0167,0.4,0.0179
0.4,0.015,0.5,0.0312,0.4,0.016,0.4,0.0174,0.4,0.0181
0.4,0.0151,0.5,0.0312,0.4,0.0169,0.4,0.0178,0.4,0.0184
0.4,0.0159,0.5,0.0315,0.4,0.0175,0.4,0.0179,0.4,0.0186
0.4,0.0173,0.5,0.032,0.4,0.0176,0.4,0.0181,0.4,0.0193
0.4,0.0183,0.5,0.0328,0.4,0.0176,0.4,0.0182,0.4,0.021
0.4,0.019,0.5,0.0337,0.4,0.0177,0.4,0.0187,0.4,0.0221
0.4,0.0199,0.4,0.0348,0.4,0.0179,0.4,0.0205,0.4,0.0223
0.4,0.0209,0.4,0.0349,0.4,0.0181,0.4,0.0214,0.5,0.0229
0.4,0.0211,0.4,0.0358,0.4,0.0185,0.4,0.022,0.9,0.0239
0.4,0.0212,0.4,0.036,0.4,0.0198,0.6,0.0226,0.8,0.0248
0.4,0.0213,0.4,0.0363,0.4,0.0218,0.7,0.0236,0.7,0.0251
0.4,0.0213,0.4,0.0368,0.5,0.0228,0.8,0.0249,0.5,0.0256
0.4,0.0214,0.4,0.0369,0.6,0.023,0.5,0.0259,0.4,0.0261
0.4,0.0215,0.4,0.037,0.6,0.0234,0.4,0.0269,0.4,0.0267
0.4,0.0216,0.4,0.0372,0.6,0.024,0.4,0.0273,0.4,0.0273
0.4,0.0219,0.4,0.0373,0.7,0.025,0.4,0.0279,0.4,0.028
0.4,0.0224,0.4,0.0377,0.6,0.0257,0.4,0.0282,0.4,0.0286
0.4,0.0224,0.4,0.0382,0.5,0.0266,0.4,0.0283,0.4,0.029
0.4,0.0224,0.4,0.0402,0.4,0.0271,0.4,0.0285,0.4,0.0301
0.4,0.0224,0.4,0.0411,0.4,0.0274,0.4,0.029,0.4,0.0306
0.4,0.0224,0.4,0.0418,0.4,0.0278,0.4,0.0297,0.4,0.0308
0.4,0.0223,0.4,0.0421,0.4,0.028,0.4,0.0307,0.6,0.0314
0.4,0.0223,0.4,0.0425,0.4,0.0281,0.5,0.0312,0.6,0.0319
0.4,0.0223,0.4,0.0429,0.4,0.0284,0.5,0.0316,0.7,0.0323
0.4,0.0223,0.4,0.0441,0.4,0.0287,0.6,0.0323,0.8,0.033
0.4,0.0223,0.4,0.0452,0.4,0.0289,0.8,0.033,0.8,0.0332
0.4,0.0223,0.4,0.0462,0.4,0.0294,0.8,0.0336,0.8,0.0332
0.4,0.0223,0.4,0.0468,0.4,0.0309,0.7,0.0348,0.7,0.0334
0.4,0.0223,0.4,0.0471,0.5,0.0313,0.5,0.0353,0.6,0.0339
0.4,0.0223,0.5,0.0478,0.5,0.0319,0.4,0.036,0.5,0.0342
0.4,0.0223,0.6,0.0486,0.6,0.0328,0.4,0.036,0.5,0.0343
0.4,0.0223,0.7,0.0496,0.6,0.0339,0.4,0.0365,0.5,0.0345
0.4,0.0223,0.7,0.0501,0.5,0.0347,0.4,0.0366,0.5,0.0345
0.4,0.0222,0.7,0.0508,0.4,0.0354,0.4,0.0368,0.4,0.0351
0.4,0.0222,0.7,0.0515,0.4,0.036,0.4,0.0371,0.4,0.0354
0.4,0.0222,0.6,0.0522,0.4,0.036,0.4,0.0372,0.4,0.0355
0.4,0.0223,0.5,0.0529,0.4,0.0364,0.4,0.0372,0.4,0.0358
0.4,0.0227,0.5,0.0535,0.4,0.0366,0.4,0.0373,0.4,0.0359
0.4,0.0229,0.4,0.0539,0.4,0.0368,0.4,0.0375,0.4,0.036
0.4,0.0231,0.4,0.0543,0.4,0.0368,0.4,0.0378,0.4,0.036
0.4,0.0235,0.4,0.0548,0.4,0.0369,0.4,0.0384,0.4,0.036
0.4,0.0246,0.4,0.0549,0.4,0.0369,0.4,0.0401,0.4,0.0362
0.4,0.0246,0.4,0.0555,0.4,0.0369,0.4,0.0405,0.4,0.0362
0.4,0.0246,0.5,0.0561,0.4,0.0369,0.4,0.0409,0.4,0.0365
0.4,0.0249,0.6,0.0571,0.4,0.0369,0.4,0.041,0.4,0.0367
0.4,0.0254,0.7,0.0574,0.4,0.0369,0.4,0.0411,0.4,0.0368
0.4,0.0261,0.8,0.0579,0.4,0.0369,0.4,0.0411,0.4,0.0368
0.4,0.0262,0.8,0.0581,0.4,0.0369,0.4,0.0414,0.4,0.0369
0.4,0.0262,0.8,0.0584,0.4,0.0368,0.4,0.0417,0.4,0.0372
